EXCHANGE%3DNYSE,,,,,
MARKET_OPEN_MINUTE=570,,,,,
MARKET_CLOSE_MINUTE=960,,,,,
INTERVAL=600,,,,,
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=,,,,,
TIMEZONE_OFFSET=-240,,,,,
35,157.42,157.565,157.01,157.16,26499
36,157.54,157.67,157.15,157.34,20239
37,157.92,157.92,157.24,157.55,12694
38,157.98,158.182,157.41,157.99,20747
432,157.76,158.17,157.47,157.99,28869
433,157.48,157.729,157.29,157.62,25005
434,156.84,157.515,156.76,157.45,25867
435,157.84,157.84,156.82,156.9287,12000
436,157.42,157.97,157.2098,157.97,19972
437,157.83,157.84,157.16,157.425,25358
438,157.73,157.93,157.41,157.65,24310
439,157.25,157.675,157.25,157.67,34076
440,157.16,157.4,157.09,157.34,22179
441,157.22,157.92,157.22,157.22,22373
442,157.29,157.37,157.08,157.2933,24465
443,157.92,158.04,157.15,157.28,24605
444,158.71,158.85,157.85,157.93,25581
445,159.49,159.63,158.52,158.89,29642
446,160.79,160.79,159.58,159.59,45655
447,159.85,160.74,159.85,160.71,26005
448,160.1,160.28,159.77,159.86,61107
449,160.51,160.51,159.68,160.0065,70911
450,159.96,160.75,159.94,160.52,86172
451,160.25,160.3,159.54,159.97,211564
452,159.765,159.94,159.25,159.59,23904
453,159.36,160.5635,159.36,159.92,22044
454,160.02,160.34,159.25,159.25,11224
455,161.11,161.18,159.945,160.21,31640
456,161.34,161.36,160.98,161.02,27918
457,160.985,161.24,160.88,161.24,28529
458,161.13,161.18,160.975,161,23186
459,161.41,161.425,160.98,161.095,19170
460,161.5802,161.63,161.33,161.48,6272
461,161.4421,161.74,161.22,161.67,9786
462,161.28,161.75,161.22,161.66,32734
463,161.01,161.275,160.98,161.275,40736
464,161.0612,161.21,160.94,161,45700
465,161.02,161.18,160.975,161.125,6784
466,161.54,161.62,160.935,161,12824
467,161.47,161.83,161.35,161.65,21995
468,161.18,161.76,161.17,161.55,16446
469,161.29,161.29,161,161.2,12481
470,161.01,161.31,160.87,161.24,21090
576,161.07,161.2,160.94,161,25117
577,161.09,161.29,160.93,161.1,21053
578,160.57,161.22,160.51,161.09,43663
579,160.45,160.62,159.635,160.62,21288
580,159.85,160.39,159.56,160.39,18559
